paper_raw,paper_join,authors,title,year_publication,studyID,studyID_short,aim,participants,discs_raw,discs_imputed,algor,Pheno_classification,measures,measureVal,measureVal_logit,SD,SD_imputed,CI-,CI+,validation,data_augmentation,genderratio_raw,genderratio_imputed,agemean_raw,agemean_imputed,MRIseq,MRIplanes,MRIstrength
Gong2021,Gong2021,"Gong, Hao and Liu, Jianhua and Li, Shuo and Chen, Bo",Axial-SpineGAN: Simultaneous segmentation and diagnosis of multiple spinal structures on axial magnetic resonance imaging images,2021.0,Gong2021deeplearningddDeveCross validation_(5)0,Gong2021deeplearningddDeve,Development,62,169.0,169.0,deeplearning,dd,accuracy,0.939,2.73394161328911,0.026,0.026,0.8880399999999999,0.98996,Cross validation_(5),0,0.6129032258064516,0.6129032258064516,52.0,52.0,T2,Sagittal,1.5T
Gong2021,Gong2021,"Gong, Hao and Liu, Jianhua and Li, Shuo and Chen, Bo",Axial-SpineGAN: Simultaneous segmentation and diagnosis of multiple spinal structures on axial magnetic resonance imaging images,2021.0,Gong2021deeplearningddDeveCross validation_(5)0,Gong2021deeplearningddDeve,Development,62,169.0,169.0,deeplearning,dd,f-score,0.953,3.009467299711551,0.022000000000000002,0.022000000000000002,0.9098799999999999,0.99612,Cross validation_(5),0,0.6129032258064516,0.6129032258064516,52.0,52.0,T2,Sagittal,1.5T
Gong2021,Gong2021,"Gong, Hao and Liu, Jianhua and Li, Shuo and Chen, Bo",Axial-SpineGAN: Simultaneous segmentation and diagnosis of multiple spinal structures on axial magnetic resonance imaging images,2021.0,Gong2021deeplearningddDeveCross validation_(5)0,Gong2021deeplearningddDeve,Development,62,169.0,169.0,deeplearning,dd,sensitivity,0.9540000000000001,3.032022272680458,0.022000000000000002,0.022000000000000002,0.91088,0.9971200000000001,Cross validation_(5),0,0.6129032258064516,0.6129032258064516,52.0,52.0,T2,Sagittal,1.5T
Gong2021,Gong2021,"Gong, Hao and Liu, Jianhua and Li, Shuo and Chen, Bo",Axial-SpineGAN: Simultaneous segmentation and diagnosis of multiple spinal structures on axial magnetic resonance imaging images,2021.0,Gong2021deeplearningddDeveCross validation_(5)0,Gong2021deeplearningddDeve,Development,62,169.0,169.0,deeplearning,dd,specificity,0.912,2.3383031743501124,0.027999999999999997,0.027999999999999997,0.85712,0.9668800000000001,Cross validation_(5),0,0.6129032258064516,0.6129032258064516,52.0,52.0,T2,Sagittal,1.5T
Athertya2019,Athertya2019-2021,"Athertya, Jiyo S. and {Saravana Kumar}, Gurunathan and Govindaraj, Jayaraj",Detection of Modic changes in MR images of spine using local binary patterns,2019.0,Athertya2019bayesmcDeveCross validation_(10)0,Athertya2019bayesmcDeve,Development,100,500.0,500.0,bayes,mc,auc,0.63,0.5322168133183078,,0.018939849624060152,0.592877894736842,0.667122105263158,Cross validation_(10),0,0.59,0.59,,49.230000000000004,"T1,T2",Sagittal,1.5T
Athertya2019,Athertya2019-2021,"Athertya, Jiyo S. and {Saravana Kumar}, Gurunathan and Govindaraj, Jayaraj",Detection of Modic changes in MR images of spine using local binary patterns,2019.0,Athertya2019bayesmcDeveCross validation_(10)0,Athertya2019bayesmcDeve,Development,100,500.0,500.0,bayes,mc,accuracy,0.71,0.8953840465691686,,0.018939849624060152,0.6728778947368421,0.7471221052631578,Cross validation_(10),0,0.59,0.59,,49.230000000000004,"T1,T2",Sagittal,1.5T
Athertya2019,Athertya2019-2021,"Athertya, Jiyo S. and {Saravana Kumar}, Gurunathan and Govindaraj, Jayaraj",Detection of Modic changes in MR images of spine using local binary patterns,2019.0,Athertya2019randomforestmcDeveCross validation_(10)0,Athertya2019randomforestmcDeve,Development,100,500.0,500.0,randomforest,mc,auc,0.8,1.386294360494891,,0.018939849624060152,0.7628778947368422,0.8371221052631579,Cross validation_(10),0,0.59,0.59,,49.230000000000004,"T1,T2",Sagittal,1.5T
Athertya2019,Athertya2019-2021,"Athertya, Jiyo S. and {Saravana Kumar}, Gurunathan and Govindaraj, Jayaraj",Detection of Modic changes in MR images of spine using local binary patterns,2019.0,Athertya2019randomforestmcDeveCross validation_(10)0,Athertya2019randomforestmcDeve,Development,100,500.0,500.0,randomforest,mc,accuracy,0.81,1.4500101748562262,,0.018939849624060152,0.7728778947368422,0.8471221052631579,Cross validation_(10),0,0.59,0.59,,49.230000000000004,"T1,T2",Sagittal,1.5T
Athertya2019,Athertya2019-2021,"Athertya, Jiyo S. and {Saravana Kumar}, Gurunathan and Govindaraj, Jayaraj",Detection of Modic changes in MR images of spine using local binary patterns,2019.0,Athertya2019svmmcDeveCross validation_(10)0,Athertya2019svmmcDeve,Development,100,500.0,500.0,svm,mc,auc,0.65,0.619039207966663,,0.018939849624060152,0.6128778947368421,0.687122105263158,Cross validation_(10),0,0.59,0.59,,49.230000000000004,"T1,T2",Sagittal,1.5T
Athertya2019,Athertya2019-2021,"Athertya, Jiyo S. and {Saravana Kumar}, Gurunathan and Govindaraj, Jayaraj",Detection of Modic changes in MR images of spine using local binary patterns,2019.0,Athertya2019svmmcDeveCross validation_(10)0,Athertya2019svmmcDeve,Development,100,500.0,500.0,svm,mc,accuracy,0.802,1.3988415765422408,,0.018939849624060152,0.7648778947368422,0.8391221052631579,Cross validation_(10),0,0.59,0.59,,49.230000000000004,"T1,T2",Sagittal,1.5T
Athertya2019,Athertya2019-2021,"Athertya, Jiyo S. and {Saravana Kumar}, Gurunathan and Govindaraj, Jayaraj",Detection of Modic changes in MR images of spine using local binary patterns,2019.0,Athertya2019knnmcDeveCross validation_(10)0,Athertya2019knnmcDeve,Development,100,500.0,500.0,knn,mc,auc,0.74,1.0459685546629371,,0.018939849624060152,0.7028778947368421,0.7771221052631578,Cross validation_(10),0,0.59,0.59,,49.230000000000004,"T1,T2",Sagittal,1.5T
Athertya2019,Athertya2019-2021,"Athertya, Jiyo S. and {Saravana Kumar}, Gurunathan and Govindaraj, Jayaraj",Detection of Modic changes in MR images of spine using local binary patterns,2019.0,Athertya2019knnmcDeveCross validation_(10)0,Athertya2019knnmcDeve,Development,100,500.0,500.0,knn,mc,accuracy,0.778,1.2540491417271271,,0.018939849624060152,0.7408778947368422,0.8151221052631579,Cross validation_(10),0,0.59,0.59,,49.230000000000004,"T1,T2",Sagittal,1.5T
Athertya2019,Athertya2019-2021,"Athertya, Jiyo S. and {Saravana Kumar}, Gurunathan and Govindaraj, Jayaraj",Detection of Modic changes in MR images of spine using local binary patterns,2019.0,Athertya2019randomforestmcDeveRandom sample split0,Athertya2019randomforestmcDeve,Development,100,500.0,500.0,randomforest,mc,auc,0.84,1.6582280758594845,,0.018939849624060152,0.802877894736842,0.8771221052631579,Random sample split,0,0.59,0.59,,49.230000000000004,"T1,T2",Sagittal,1.5T
Athertya2019,Athertya2019-2021,"Athertya, Jiyo S. and {Saravana Kumar}, Gurunathan and Govindaraj, Jayaraj",Detection of Modic changes in MR images of spine using local binary patterns,2019.0,Athertya2019randomforestmcDeveRandom sample split0,Athertya2019randomforestmcDeve,Development,100,500.0,500.0,randomforest,mc,accuracy,0.82,1.5163474886905814,,0.018939849624060152,0.782877894736842,0.8571221052631579,Random sample split,0,0.59,0.59,,49.230000000000004,"T1,T2",Sagittal,1.5T
